id,tag
b4a59f0e2e1342efa451237125bb331a,trousers
55bfcee9167e47eca5cf80e7f3fc9328,outerwear
67381b7dd2494c3bb7984175f3cb0843,shirts
805ea814c22f4750ad1ede82e9eaad83,plates
0cfac0b958a444e2ab4b24aea6a9a16b,knitwear
1755abc76432452f9913d8f79fdfd72c,knits
d21edc0de7e7482ba62bd5b11714ac78,posters
f98af7fac2fc4310ab8cb7adf1ab4a52,men
4202dd8da64d4ebea7577f0f2b2e991b,scandinavian
10cf4d06f4d343be9e3074dc9036ad67,underwear
59797222b41c41be850ae55bf8526f19,sweaters
884c16cc3fff49aa9abf52c69d56a8f2,clothes
759c25b8417c44fea6b2012e17f247a7,lights
25fa3b3e10ff498c8387ab08942244ac,cool
2e63fea55373480ca7421e246225fe36,casual
bcf22adc90414f2091bb2617f1d05b36,tops
cf53c4f9bf2749d787de21e4d3078077,formal
4019c933ca5d44f7aae87c1ebdeae2f2,fashion
922ee07748714e88bb0c0ab963e216b4,kitchenware
f92c55a2cbc84439babb003062282f92,livingroom
6c9030185c074b62aa5d5c702ce2dca0,paintings
4a6cf7ee90f74f12869e8bdbc90398b9,women
fc911a9f60b341b0a7e9984eb5386c28,cutlery
b2b8905e86e14be2be0f7cbfd4cc2f23,accessories
146f3cc1b95e41fb9b7a1fc94544d961,kids
10e0e321984842cb877941ff66f7f349,home
